customer_id,arrival_time,service_start_time,service_end_time,interarrival_sec,service_time_sec,service_type,queue_at_arrival,wait_time_sec,system_time_sec,interarrival_min,service_time_min,wait_time_min,system_time_min
1,2024-01-01 08:00:00.000000,2024-01-01 08:00:00.000000,2024-01-01 08:00:28.278091,44.43160918102676,28.278091108774287,drink,1,0.0,28.278091,0.7405268196837793,0.47130151847957147,0.0,0.47130151666666664
2,2024-01-01 08:00:22.609718,2024-01-01 08:00:28.278091,2024-01-01 08:02:57.877573,22.609718365674805,149.59948194601634,food,1,5.668373,155.267855,0.3768286394279134,2.493324699100272,0.09447288333333333,2.5877975833333333
3,2024-01-01 08:01:02.055572,2024-01-01 08:02:57.877573,2024-01-01 08:03:34.382151,39.445854023283935,36.50457820268369,drink,1,115.822001,152.326579,0.6574309003880656,0.6084096367113948,1.9303666833333333,2.538776316666667
4,2024-01-01 08:01:16.910628,2024-01-01 08:03:34.382151,2024-01-01 08:04:27.229802,14.85505540376484,52.847650892561646,drink,1,137.471523,190.319174,0.247584256729414,0.8807941815426941,2.29119205,3.1719862333333335
5,2024-01-01 08:01:53.044554,2024-01-01 08:04:27.229802,2024-01-01 08:05:57.229802,36.1339263466143,90.0,food,1,154.185248,244.185248,0.602232105776905,1.5,2.5697541333333334,4.069754133333333
6,2024-01-01 08:02:35.339677,2024-01-01 08:05:57.229802,2024-01-01 08:07:05.949052,42.29512287103846,68.71924977589148,drink,1,201.890125,270.609375,0.7049187145173076,1.1453208295981914,3.3648354166666667,4.51015625
7,2024-01-01 08:02:42.831804,2024-01-01 08:07:05.949052,2024-01-01 08:07:52.161292,7.492127178661686,46.212239985455525,drink,1,263.117248,309.329488,0.1248687863110281,0.7702039997575921,4.385287466666667,5.155491466666667
8,2024-01-01 08:03:07.375834,2024-01-01 08:07:52.161292,2024-01-01 08:10:46.515320,24.54403020387657,174.35402790434256,food,1,284.785458,459.139486,0.4090671700646095,2.905900465072376,4.7464243,7.652324766666666
9,2024-01-01 08:04:00.066981,2024-01-01 08:10:46.515320,2024-01-01 08:12:24.313640,52.69114664715446,97.79832019993603,food,1,406.448339,504.246659,0.8781857774525743,1.629972003332267,6.774138983333333,8.404110983333334
10,2024-01-01 08:04:20.959691,2024-01-01 08:12:24.313640,2024-01-01 08:14:05.608371,20.892709896291375,101.29473075414663,food,1,483.353949,584.64868,0.34821183160485625,1.6882455125691105,8.05589915,9.744144666666667
11,2024-01-01 08:05:18.673452,2024-01-01 08:14:05.608371,2024-01-01 08:15:25.567819,57.71376059972018,79.95944796121991,drink,1,526.934919,606.894367,0.9618960099953363,1.3326574660203319,8.782248650000001,10.114906116666667
12,2024-01-01 08:06:19.606812,2024-01-01 08:15:25.567819,2024-01-01 08:15:57.918598,60.93336051620687,32.35077920856047,drink,1,545.961007,578.311786,1.0155560086034479,0.5391796534760078,9.099350116666667,9.638529766666666
13,2024-01-01 08:07:12.167078,2024-01-01 08:15:57.918598,2024-01-01 08:17:49.393810,52.56026552088939,111.47521255675105,food,1,525.75152,637.226732,0.8760044253481565,1.857920209279184,8.762525333333334,10.620445533333333
14,2024-01-01 08:08:20.846069,2024-01-01 08:17:49.393810,2024-01-01 08:19:03.560553,68.6789910192463,74.16674222749431,drink,1,568.547741,642.714484,1.1446498503207716,1.2361123704582384,9.475795683333333,10.711908066666666
15,2024-01-01 08:08:34.997714,2024-01-01 08:19:03.560553,2024-01-01 08:20:38.674563,14.151645217388147,95.11401061679751,food,1,628.562839,723.676849,0.23586075362313577,1.5852335102799586,10.476047316666667,12.061280816666665
16,2024-01-01 08:09:51.860727,2024-01-01 08:20:38.674563,2024-01-01 08:21:55.994046,76.86301334784187,77.31948276219663,drink,1,646.813836,724.133319,1.2810502224640312,1.2886580460366104,10.780230600000001,12.06888865
17,2024-01-01 08:10:14.713748,2024-01-01 08:21:55.994046,2024-01-01 08:22:23.994046,22.853020644274554,28.0,drink,1,701.280298,729.280298,0.3808836774045759,0.4666666666666667,11.688004966666666,12.154671633333333
18,2024-01-01 08:11:02.176801,2024-01-01 08:22:23.994046,2024-01-01 08:22:54.778008,47.46305282033275,30.78396189731252,drink,1,681.817245,712.601207,0.7910508803388792,0.5130660316218754,11.363620749999999,11.876686783333334
19,2024-01-01 08:12:53.339228,2024-01-01 08:22:54.778008,2024-01-01 08:25:05.829018,111.16242766242824,131.05101008393754,food,1,601.43878,732.48979,1.8527071277071374,2.1841835013989592,10.023979666666666,12.208163166666667
20,2024-01-01 08:13:28.999208,2024-01-01 08:25:05.829018,2024-01-01 08:26:08.018037,35.659979515972346,62.189019316304666,drink,1,696.82981,759.018829,0.5943329919328725,1.0364836552717445,11.613830166666666,12.650313816666666
21,2024-01-01 08:14:14.094502,2024-01-01 08:26:08.018037,2024-01-01 08:27:01.642933,45.09529467944256,53.62489579731257,drink,1,713.923535,767.548431,0.751588244657376,0.8937482632885428,11.898725583333334,12.79247385
22,2024-01-01 08:14:37.041487,2024-01-01 08:27:01.642933,2024-01-01 08:27:29.642933,22.94698434568293,28.0,drink,1,744.601446,772.601446,0.3824497390947155,0.4666666666666667,12.4100241,12.876690766666666
23,2024-01-01 08:16:27.602418,2024-01-01 08:27:29.642933,2024-01-01 08:28:27.374089,110.56093120259482,57.731156043512165,drink,1,662.040515,719.771671,1.8426821867099137,0.962185934058536,11.034008583333334,11.996194516666666
24,2024-01-01 08:16:52.182534,2024-01-01 08:28:27.374089,2024-01-01 08:29:08.711006,24.580116387831062,41.336916689665244,drink,1,695.191555,736.528472,0.409668606463851,0.6889486114944208,11.586525916666666,12.275474533333332
25,2024-01-01 08:17:56.115838,2024-01-01 08:29:08.711006,2024-01-01 08:33:04.001904,63.93330332912869,235.29089797552268,food,1,672.595168,907.886066,1.0655550554854782,3.9215149662587114,11.209919466666665,15.131434433333334
